Nome;Squadra;Ruolo;Costo listone
LEAO;MIL;ATT;64
DAVID;JUV;ATT;49
DIA;LAZ;ATT;23
GIMENEZ;MIL;ATT;22
KUHN;COM;ATT;20
RATKOV;LAZ;ATT;20
VAZ;ROM;ATT;20
CHEDDIRA;NAP;ATT;19
MORATA;COM;ATT;18
ALVAREZ;SAS;ATT;13
MUTANDWA;CAG;ATT;13
BALDÉ;MON;ATT;12
KARLSSON;BOL;ATT;9
OKORO;VEN;ATT;7
PELLEGRI;TOR;ATT;6
MODESTO;UDI;ATT;5
ARENA;ROM;ATT;3
LOUBAO;MON;ATT;3
MARTINS;MON;ATT;3
SKJELLERUP;SAS;ATT;3
BARCELLA;FRO;ATT;2
CICHERO;FRO;ATT;2
PIERINI;SAS;ATT;2
AZON;COM;ATT;1
BALENTIEN;MIL;ATT;1
CROCI;FIO;ATT;1
GABELLINI;TOR;ATT;1
JOVIC;LEC;ATT;1
KULLA;SAS;ATT;1
LAVELLI;INT;ATT;1
MOSCONI;INT;ATT;1
NUREDINI;GEN;ATT;1
SPINACCÈ;INT;ATT;1
TOURÉ;VEN;ATT;1
VIGLIOTTI;NAP;ATT;1
VINCIATI;UDI;ATT;1
ZULEVIC;GEN;ATT;1
FOFANA;MIL;CEN;29
EL AYNAOUI;ROM;CEN;24
SORENSEN;PAR;CEN;17
KOUTSOUPIAS;FRO;CEN;16
CARBONI;INT;CEN;15
IANNONI;SAS;CEN;15
LINDSTROM;NAP;CEN;15
MAZZITELLI;COM;CEN;14
SOTTIL;FIO;CEN;14
BONDO;MIL;CEN;12
LOVRIC;UDI;CEN;10
CAJUSTE;NAP;CEN;8
BOHINEN;VEN;CEN;6
GALAZZI;MON;CEN;6
ASLLANI;INT;CEN;5
BARAK;FIO;CEN;5
LAFONT;GEN;CEN;5
NUAMAH;SAS;CEN;5
AKARAKIRI;CAG;CEN;4
WIAFE;GEN;CEN;4
ZEROLI;MIL;CEN;3
CALIGARA;SAS;CEN;2
FARJI;VEN;CEN;2
GHION;SAS;CEN;2
BALLABIO;MON;CEN;1
BERARDI;VEN;CEN;1
CASSA;ATA;CEN;1
CASSANO;COM;CEN;1
EL HADDAD;VEN;CEN;1
FANNE;VEN;CEN;1
FARCOMENI;LAZ;CEN;1
GRANDU;CAG;CEN;1
KAMATE;INT;CEN;1
KOUDA;PAR;CEN;1
KOVAC;LEC;CEN;1
LUONGO;TOR;CEN;1
MANZONI;ATA;CEN;1
PANADA;VEN;CEN;1
PEJICIC;UDI;CEN;1
TOCI;FRO;CEN;1
PEDERSEN;TOR;DIF;23
ROMAGNOLI;LAZ;DIF;21
NORTON-CUFFY;GEN;DIF;19
MARTIN;GEN;DIF;18
ZAPPA;CAG;DIF;16
AHANOR;ATA;DIF;14
MISSORI;SAS;DIF;13
DELLI CARRI;MON;DIF;11
DOSSENA;COM;DIF;8
BAKKER;ATA;DIF;6
EL AZZOUZI;FRO;DIF;5
KOUASSI;LEC;DIF;5
GIGOT;LAZ;DIF;4
MLACIC;UDI;DIF;3
BIANAY;TOR;DIF;1
BOVIO;INT;DIF;1
COMI;ATA;DIF;1
DE PAOLI;COM;DIF;1
DI BITONTO;SAS;DIF;1
GALASSI;LAZ;DIF;1
GAROFALO;NAP;DIF;1
KOSPO;FIO;DIF;1
KUMER CELIK;GEN;DIF;1
LIGUE;VEN;DIF;1
MACCHIONI;SAS;DIF;1
MANNINI;ROM;DIF;1
PAZ;SAS;DIF;1
UBANI;LEC;DIF;1
VAZ;GEN;DIF;1
AUDERO;COM;POR;1
FURLANETTO;LAZ;POR;1
ISRAEL;TOR;POR;1
LYSIONOK;GEN;POR;1
MAZZOCCHI;PAR;POR;1
PARDEL;ATA;POR;1
PITTARELLA;MIL;POR;1
PIZZIGNACCO;MON;POR;1
RADU;JUV;POR;1
ROSSI;ATA;POR;1
