Nome Excel;Squadra;Ruolo;IA;P. Med. Aste
Vicario;Juventus;POR;79.9;94.0
Perri;Torino;POR;72.0;5.6
Sanchez Ro.;Como;POR;70.48;5.8
Vigorito;Como;POR;35.69;1.8
Russo A.;Sassuolo;POR;35.69;1.6
Mrozek;Udinese;POR;35.69;1.8
Ghidotti;Parma;POR;35.69;1.6
Pompei;Atalanta;POR;35.69;1.8
Theate;Bologna;DIF;70.48;7.0
Diego Carlos;Parma;DIF;70.48;5.4
Belghali;Torino;DIF;68.81;7.1
Balerdi;Roma;DIF;66.78;3.0
Caleta-Car;Sassuolo;DIF;66.78;2.3
Sugawara;Cagliari;DIF;66.78;2.5
Rodriguez R.;;DIF;64.25;0.0
Patterson;Torino;DIF;64.25;2.2
Ehizibue;;DIF;60.96;0.0
Juan Jesus;Venezia;DIF;60.96;2.5
Drameh;Genoa;DIF;56.34;2.2
Drobnic;Parma;DIF;49.12;1.9
Kessiè;Atalanta;CEN;75.48;32.8
Goncalves P.;Fiorentina;CEN;75.48;40.6
Hutchinson;Milan;CEN;70.48;5.6
Mbangula;Bologna;CEN;70.48;4.4
Monteiro J.;Lecce;CEN;68.81;2.8
Sarr P.;Juventus;CEN;68.81;5.8
El Shaarawy;Genoa;CEN;68.81;5.2
Braganca;Torino;CEN;66.78;2.3
Gagliardini;Cagliari;CEN;56.34;2.0
Fernandez T.;Venezia;CEN;56.34;2.7
Jovanovic;Udinese;CEN;49.12;2.1
El Azzouzi A.;Frosinone;CEN;35.69;1.9
Ciervo;Cagliari;CEN;35.69;2.0
Woltemade;Juventus;ATT;84.18;148.3
Beto;Fiorentina;ATT;77.42;85.0
Bobcek;Frosinone;ATT;72.0;3.7
Gnonto;Fiorentina;ATT;;4.2
Zeballos;Monza;ATT;;3.6
Enem;Bologna;ATT;;3.0
Robinho Junior;Genoa;ATT;;1.9
